date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:59	55380/55380	---MCZ	200	added ('OK')	text/html	etag:W/%22fc1b2f96976105528e0e91b6dd604427%22	https://godwinausten.site/casestudies/cleandrive	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/casestudies/cleandrive.html	(from )
16:09:00	100/100	---MCZ	200	added ('OK')	text/plain	etag:W/%2290c9bfd08c7412f63295d49cc8c706cc%22	https://godwinausten.site/robots.txt		(from )
16:09:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20May%202024%2011:09:01%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.1.delayed	(from https://godwinausten.site/casestudies/cleandrive)
16:09:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20May%202024%2011:09:02%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	(from https://godwinausten.site/casestudies/cleandrive)
16:09:01	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://godwinausten.site/casestudies/cleandrive)
16:09:02	3145/3145	---M-Z	200	added ('OK')	text/css	etag:W/%22c49-gaQ0+U8rESTzIyu4bylE+C+yOsA%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	(from https://godwinausten.site/casestudies/cleandrive)
16:09:02	11605/11605	---MCZ	200	added ('OK')	application/javascript	etag:W/%222d55-5u1OrC54l+ZExmfAeemvBfNupE4%22	https://cdn.jsdelivr.net/npm/simple-parallax-js@5.5.1/dist/simpleParallax.min.js	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/simple-parallax-js@5.5.1/dist/simpleParallax.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:03	11233/11233	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d2a-2be1%22	https://cdnjs.cloudflare.com/ajax/libs/animejs/2.0.2/anime.min.js	C:/Users/Saad%20Naik/Downloads/case/cdnjs.cloudflare.com/ajax/libs/animejs/2.0.2/anime.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:03	17430/17430	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf2-4416%22	http://cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/ScrollMagic.min.js	C:/Users/Saad%20Naik/Downloads/case/cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/ScrollMagic.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:04	7096/7096	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf2-1bb8%22	http://cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/plugins/debug.addIndicators.min.js	C:/Users/Saad%20Naik/Downloads/case/cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/plugins/debug.addIndicators.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:04	30976/30976	---MCZ	200	added ('OK')	text/css	etag:W/%227bbe98e5d5b899d9c532377fe1cdabd0%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139735722270/1697045124834/theme-challenge_copy/css/main.min.css	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139735722270/1697045124834/theme-challenge_copy/css/main.min.css	(from https://godwinausten.site/casestudies/cleandrive)
16:09:05	29846/29846	---MCZ	200	added ('OK')	text/css	etag:W/%225f7933cf721b7f64c87041b5ae8593b0%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139735722288/1697045835397/theme-challenge_copy/css/theme-overrides.min.css	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139735722288/1697045835397/theme-challenge_copy/css/theme-overrides.min.css	(from https://godwinausten.site/casestudies/cleandrive)
16:09:06	0/0	---M--	200	added ('OK')	text/css	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139719032166/1697043346985/theme-challenge_copy/child.min.css	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139719032166/1697043346985/theme-challenge_copy/child.min.css	(from https://godwinausten.site/casestudies/cleandrive)
16:09:06	7765/7765	---MCZ	200	added ('OK')	text/css	etag:W/%227bee08134816c05db1e5d9b78a2fd698%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/1697043943266/module_139719097862_Menu_Section.css	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/1697043943266/module_139719097862_Menu_Section.css	(from https://godwinausten.site/casestudies/cleandrive)
16:09:06	1928/1928	---MCZ	200	added ('OK')	text/css	etag:W/%22f368da6b436b5300c8a3760fac8e2652%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/139735720255/1697043943120/module_139735720255_Content_Timeline.min.css	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/139735720255/1697043943120/module_139735720255_Content_Timeline.min.css	(from https://godwinausten.site/casestudies/cleandrive)
16:09:07	38/38	---M--	200	added ('OK')	text/css	etag:%22c5cb9f8f4f15e599381a95cfdb87b63c%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/148764965208/1701954991755/module_148764965208_Section_copy_2.min.css	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/148764965208/1701954991755/module_148764965208_Section_copy_2.min.css	(from https://godwinausten.site/casestudies/cleandrive)
16:09:07	758/758	---MCZ	200	added ('OK')	text/css	etag:W/%225ae5447b86575ab9e1ffdb9341c75ce6%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/139718698332/1697043944515/module_139718698332_Social_Follow.min.css	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/139718698332/1697043944515/module_139718698332_Social_Follow.min.css	(from https://godwinausten.site/casestudies/cleandrive)
